INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
EURUSD,240,20,7,14,5,6,3,1409.3796999999754,74.18,0.47,0.7,0.23226001040112498,3.5378670853201597,10.86975384763457,False,True,False,True,False,False,False,True,1.0
EURUSD,240,20,7,14,5,6,3,1409.3796999999754,74.18,0.47,0.7,0.23226001040112498,3.5378670853201597,10.86975384763457,False,True,True,True,False,False,False,True,1.0
EURUSD,240,20,7,14,5,6,3,1409.3796999999754,74.18,0.47,0.7,0.23226001040112498,3.5378670853201597,10.86975384763457,False,True,True,False,False,False,False,True,1.0
EURUSD,240,65,12,54,8,19,5,1375.5698999999963,22.19,0.39,0.81,0.14087831434012518,15.091688388929649,23.84007945309715,False,False,False,False,False,False,False,True,1.0
EURUSD,240,20,7,13,5,5,4,1058.1332999999797,58.79,0.5,0.67,0.10748132360485346,4.857719738914237,12.088897576078825,False,True,True,True,False,True,False,True,1.0
EURUSD,240,20,7,13,5,5,4,1058.1332999999797,58.79,0.5,0.67,0.10748132360485346,4.857719738914237,12.088897576078825,False,True,True,False,False,True,False,True,1.0
EURUSD,240,20,7,13,5,5,4,1058.1332999999797,58.79,0.5,0.67,0.10748132360485346,4.857719738914237,12.088897576078825,False,True,False,True,False,True,False,True,1.0
EURUSD,240,20,7,18,5,7,3,968.9178999999584,42.13,0.43,0.85,0.09789178375096162,7.261810525947236,14.311350548609129,False,True,False,False,False,False,False,True,1.0
EURUSD,240,65,12,52,10,18,6,877.394599999996,14.15,0.39,0.81,0.06037478181096899,15.097334897665078,23.843240297773075,False,False,False,False,False,True,False,True,1.0
EURUSD,240,65,12,48,8,18,5,817.7222999999974,14.6,0.41,0.73,0.049405191195872396,19.255511219720287,21.247544137780753,False,False,False,True,False,False,False,True,1.0
EURUSD,240,65,12,48,8,18,5,817.7222999999974,14.6,0.41,0.73,0.049405191195872396,19.255511219720287,21.247544137780753,False,False,True,True,False,False,False,True,1.0
EURUSD,240,65,12,48,8,18,5,817.7222999999974,14.6,0.41,0.73,0.049405191195872396,19.255511219720287,21.247544137780753,False,False,True,False,False,False,False,True,1.0
EURUSD,240,65,7,54,5,19,3,785.6339999999898,13.32,0.37,0.82,0.04171359955668165,15.092492486278731,23.841164392436948,True,True,False,False,False,False,False,True,1.0
EURUSD,240,20,7,17,5,6,4,631.367099999972,28.7,0.45,0.81,0.003345393556868671,8.529542849091296,15.483208506267896,False,True,False,False,False,True,False,True,1.0
EURUSD,240,65,7,53,6,18,5,623.1500999999962,10.56,0.39,0.82,0.014178268893863425,15.09739028465059,23.84340055517336,True,True,False,False,False,True,False,True,1.0
EURUSD,240,5,1,4,1,1,1,573.1487000000112,114.63,0.4,0.83,-0.031048960342930785,6.492696592427008,6.492696592427008,True,False,True,False,False,False,False,False,1.0
