INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
USDCHF,60,162,255,136,222,44,77,2831.7334000000587,7.91,0.34,0.86,0.3537243636948414,9.619161592259028,18.87023430209437,False,False,True,False,False,True,True,True,1.0
USDCHF,60,6,256,4,152,1,79,2808.2606000000183,18.0,0.51,0.6,0.26903946448671157,10.157942532485144,25.66937753177544,False,True,False,False,True,False,False,True,1.0
USDCHF,60,6,256,4,152,1,79,2808.2606000000183,18.0,0.51,0.6,0.26903946448671157,10.157942532485144,25.66937753177544,False,True,False,False,True,True,False,True,1.0
USDCHF,60,61,254,42,176,19,70,2731.1300000002193,12.53,0.41,0.69,0.32042814642316914,9.720859478424456,30.064728794934187,True,True,True,False,False,True,False,False,1.0
USDCHF,60,61,254,42,176,19,70,2731.1300000002193,12.53,0.41,0.69,0.32042814642316914,9.720859478424456,30.064728794934187,True,True,False,True,False,True,False,False,1.0
USDCHF,60,61,254,42,176,19,70,2731.1300000002193,12.53,0.41,0.69,0.32042814642316914,9.720859478424456,30.064728794934187,True,True,True,True,False,True,False,False,1.0
USDCHF,60,162,255,155,240,55,79,2314.4680000001317,5.86,0.34,0.95,0.30167656172776713,10.635016544774343,23.186860906178495,False,False,False,False,False,True,True,True,1.0
USDCHF,60,61,254,58,223,21,76,2274.24480000031,8.09,0.35,0.89,0.31078607679274667,9.646979371198722,20.750695605773114,True,True,True,True,False,True,True,True,1.0
USDCHF,60,61,254,58,223,21,76,2274.24480000031,8.09,0.35,0.89,0.31078607679274667,9.646979371198722,20.750695605773114,True,True,False,True,False,True,True,True,1.0
USDCHF,60,61,254,58,223,21,76,2274.24480000031,8.09,0.35,0.89,0.31078607679274667,9.646979371198722,20.750695605773114,True,True,True,False,False,True,True,True,1.0
