INSTRUMENT,TIMEFRAME,POSSIBLE_BUY_TRADES,POSSIBLE_SELL_TRADES,TOTAL_BUY_TRADES,TOTAL_SELL_TRADES,PROFITABLE_BUY_TRADES,PROFITABLE_SELL_TRADES,TOTAL_PROFIT,AVG_PROFIT,PERC_PROFITABLE,PERC_TRADES_TAKEN,SHARPE_RATIO,DRAWDOWN,MAX_DRAWDOWN,CCI,CCII,ADX_SIMPLE,ADX_LOOKBACK,RSI_RANGE,CLOSE_ON_CONFLICT,TRAILING_STOP,1ATR_STOP,FIB_TP
USDCHF,240,46,73,42,51,11,25,20344.127999999746,218.75,0.39,0.78,0.47274050662225076,11.852999892161113,87.47186897591605,False,False,False,False,False,True,True,False,1.0
USDCHF,240,46,73,30,26,8,15,19189.30649999974,342.67,0.41,0.47,0.4808481100980164,10.408770906724495,87.47101806555203,False,False,False,False,True,True,True,False,1.0
USDCHF,240,46,73,30,26,8,15,19189.30649999974,342.67,0.41,0.47,0.4808481100980164,10.408770906724495,87.47101806555203,False,False,True,False,True,True,True,False,1.0
USDCHF,240,46,73,30,26,8,15,19189.30649999974,342.67,0.41,0.47,0.4808481100980164,10.408770906724495,87.47101806555203,False,False,False,True,True,True,True,False,1.0
USDCHF,240,46,73,30,26,8,15,19189.30649999974,342.67,0.41,0.47,0.4808481100980164,10.408770906724495,87.47101806555203,False,False,True,True,True,True,True,False,1.0
NZDUSD,240,61,53,45,39,15,22,18713.427300000087,222.78,0.44,0.74,0.8863985553337849,10.280992792955287,22.24441209761421,False,False,False,False,False,False,False,False,1.0
USDCHF,240,46,73,39,46,10,23,16571.560099999704,194.96,0.39,0.71,0.424782045286402,11.636604635059594,87.47169773052222,False,False,True,False,False,True,True,False,1.0
USDCHF,240,46,73,39,46,10,23,16571.560099999704,194.96,0.39,0.71,0.424782045286402,11.636604635059594,87.47169773052222,False,False,False,True,False,True,True,False,1.0
USDCHF,240,46,73,39,46,10,23,16571.560099999704,194.96,0.39,0.71,0.424782045286402,11.636604635059594,87.47169773052222,False,False,True,True,False,True,True,False,1.0
USDCHF,240,46,73,25,27,14,11,12483.37570000007,240.06,0.48,0.44,0.6975651873662375,12.211027294600555,60.27545677108076,False,False,True,False,True,True,False,True,1.0
USDCHF,240,46,73,25,27,14,11,12483.37570000007,240.06,0.48,0.44,0.6975651873662375,12.211027294600555,60.27545677108076,False,False,False,True,True,True,False,True,1.0
USDCHF,240,46,73,25,27,14,11,12483.37570000007,240.06,0.48,0.44,0.6975651873662375,12.211027294600555,60.27545677108076,False,False,True,True,True,True,False,True,1.0
USDCHF,240,46,73,31,31,13,16,12043.089299999887,194.24,0.47,0.52,0.6674279797524543,5.222853177762353,59.74912692234782,False,False,True,True,True,True,True,True,1.0
USDCHF,240,46,73,31,31,13,16,12043.089299999887,194.24,0.47,0.52,0.6674279797524543,5.222853177762353,59.74912692234782,False,False,True,False,True,True,True,True,1.0
USDCHF,240,46,73,31,31,13,16,12043.089299999887,194.24,0.47,0.52,0.6674279797524543,5.222853177762353,59.74912692234782,False,False,False,True,True,True,True,True,1.0
USDCHF,240,46,73,25,28,14,11,12034.357200000042,227.06,0.47,0.45,0.6748965949216824,13.96427259756133,60.27545677108076,False,False,False,False,True,True,False,True,1.0
